date,year,quarter,month,month_name,week,weekday,weekday_name,is_weekend
2016-03-04,2016,1,3,March,9,4,Friday,False
2016-03-05,2016,1,3,March,9,5,Saturday,True
2016-03-06,2016,1,3,March,9,6,Sunday,True
2016-03-07,2016,1,3,March,10,0,Monday,False
2016-03-08,2016,1,3,March,10,1,Tuesday,False
2016-03-09,2016,1,3,March,10,2,Wednesday,False
2016-03-10,2016,1,3,March,10,3,Thursday,False
2016-03-11,2016,1,3,March,10,4,Friday,False
2016-03-12,2016,1,3,March,10,5,Saturday,True
2016-03-13,2016,1,3,March,10,6,Sunday,True
2016-03-14,2016,1,3,March,11,0,Monday,False
2016-03-15,2016,1,3,March,11,1,Tuesday,False
2016-03-16,2016,1,3,March,11,2,Wednesday,False
2016-03-17,2016,1,3,March,11,3,Thursday,False
2016-03-18,2016,1,3,March,11,4,Friday,False
2016-03-19,2016,1,3,March,11,5,Saturday,True
2016-03-20,2016,1,3,March,11,6,Sunday,True
2016-03-21,2016,1,3,March,12,0,Monday,False
2016-03-22,2016,1,3,March,12,1,Tuesday,False
2016-03-23,2016,1,3,March,12,2,Wednesday,False
2016-03-24,2016,1,3,March,12,3,Thursday,False
2016-03-25,2016,1,3,March,12,4,Friday,False
2016-03-26,2016,1,3,March,12,5,Saturday,True
2016-03-27,2016,1,3,March,12,6,Sunday,True
2016-03-28,2016,1,3,March,13,0,Monday,False
2016-03-29,2016,1,3,March,13,1,Tuesday,False
2016-03-30,2016,1,3,March,13,2,Wednesday,False
2016-03-31,2016,1,3,March,13,3,Thursday,False
2016-04-01,2016,2,4,April,13,4,Friday,False
2016-04-02,2016,2,4,April,13,5,Saturday,True
2016-04-03,2016,2,4,April,13,6,Sunday,True
2016-04-04,2016,2,4,April,14,0,Monday,False
2016-04-05,2016,2,4,April,14,1,Tuesday,False
2016-04-06,2016,2,4,April,14,2,Wednesday,False
2016-04-07,2016,2,4,April,14,3,Thursday,False
2016-04-08,2016,2,4,April,14,4,Friday,False
2016-04-09,2016,2,4,April,14,5,Saturday,True
2016-04-10,2016,2,4,April,14,6,Sunday,True
2016-04-11,2016,2,4,April,15,0,Monday,False
2016-04-12,2016,2,4,April,15,1,Tuesday,False
2016-04-13,2016,2,4,April,15,2,Wednesday,False
2016-04-14,2016,2,4,April,15,3,Thursday,False
2016-04-15,2016,2,4,April,15,4,Friday,False
2016-04-16,2016,2,4,April,15,5,Saturday,True
2016-04-17,2016,2,4,April,15,6,Sunday,True
2016-04-18,2016,2,4,April,16,0,Monday,False
2016-04-19,2016,2,4,April,16,1,Tuesday,False
2016-04-20,2016,2,4,April,16,2,Wednesday,False
2016-04-21,2016,2,4,April,16,3,Thursday,False
2016-04-22,2016,2,4,April,16,4,Friday,False
2016-04-23,2016,2,4,April,16,5,Saturday,True
2016-04-24,2016,2,4,April,16,6,Sunday,True
2016-04-25,2016,2,4,April,17,0,Monday,False
2016-04-26,2016,2,4,April,17,1,Tuesday,False
2016-04-27,2016,2,4,April,17,2,Wednesday,False
2016-04-28,2016,2,4,April,17,3,Thursday,False
2016-04-29,2016,2,4,April,17,4,Friday,False
2016-04-30,2016,2,4,April,17,5,Saturday,True
2016-05-01,2016,2,5,May,17,6,Sunday,True
2016-05-02,2016,2,5,May,18,0,Monday,False
2016-05-03,2016,2,5,May,18,1,Tuesday,False
2016-05-04,2016,2,5,May,18,2,Wednesday,False
2016-05-05,2016,2,5,May,18,3,Thursday,False
2016-05-06,2016,2,5,May,18,4,Friday,False
2016-05-07,2016,2,5,May,18,5,Saturday,True
2016-05-08,2016,2,5,May,18,6,Sunday,True
2016-05-09,2016,2,5,May,19,0,Monday,False
2016-05-10,2016,2,5,May,19,1,Tuesday,False
2016-05-11,2016,2,5,May,19,2,Wednesday,False
2016-05-12,2016,2,5,May,19,3,Thursday,False
2016-05-13,2016,2,5,May,19,4,Friday,False
2016-05-14,2016,2,5,May,19,5,Saturday,True
2016-05-15,2016,2,5,May,19,6,Sunday,True
2016-05-16,2016,2,5,May,20,0,Monday,False
2016-05-17,2016,2,5,May,20,1,Tuesday,False
2016-05-18,2016,2,5,May,20,2,Wednesday,False
2016-05-19,2016,2,5,May,20,3,Thursday,False
2016-05-20,2016,2,5,May,20,4,Friday,False
2016-05-21,2016,2,5,May,20,5,Saturday,True
2016-05-22,2016,2,5,May,20,6,Sunday,True
2016-05-23,2016,2,5,May,21,0,Monday,False
2016-05-24,2016,2,5,May,21,1,Tuesday,False
2016-05-25,2016,2,5,May,21,2,Wednesday,False
2016-05-26,2016,2,5,May,21,3,Thursday,False
2016-05-27,2016,2,5,May,21,4,Friday,False
2016-05-28,2016,2,5,May,21,5,Saturday,True
2016-05-29,2016,2,5,May,21,6,Sunday,True
2016-05-30,2016,2,5,May,22,0,Monday,False
2016-05-31,2016,2,5,May,22,1,Tuesday,False
2016-06-01,2016,2,6,June,22,2,Wednesday,False
2016-06-02,2016,2,6,June,22,3,Thursday,False
2016-06-03,2016,2,6,June,22,4,Friday,False
2016-06-04,2016,2,6,June,22,5,Saturday,True
2016-06-05,2016,2,6,June,22,6,Sunday,True
2016-06-06,2016,2,6,June,23,0,Monday,False
2016-06-07,2016,2,6,June,23,1,Tuesday,False
2016-06-08,2016,2,6,June,23,2,Wednesday,False
2016-06-09,2016,2,6,June,23,3,Thursday,False
2016-06-10,2016,2,6,June,23,4,Friday,False
2016-06-11,2016,2,6,June,23,5,Saturday,True
2016-06-12,2016,2,6,June,23,6,Sunday,True
2016-06-13,2016,2,6,June,24,0,Monday,False
2016-06-14,2016,2,6,June,24,1,Tuesday,False
2016-06-15,2016,2,6,June,24,2,Wednesday,False
2016-06-16,2016,2,6,June,24,3,Thursday,False
2016-06-17,2016,2,6,June,24,4,Friday,False
2016-06-18,2016,2,6,June,24,5,Saturday,True
2016-06-19,2016,2,6,June,24,6,Sunday,True
2016-06-20,2016,2,6,June,25,0,Monday,False
2016-06-21,2016,2,6,June,25,1,Tuesday,False
2016-06-22,2016,2,6,June,25,2,Wednesday,False
2016-06-23,2016,2,6,June,25,3,Thursday,False
2016-06-24,2016,2,6,June,25,4,Friday,False
2016-06-25,2016,2,6,June,25,5,Saturday,True
2016-06-26,2016,2,6,June,25,6,Sunday,True
2016-06-27,2016,2,6,June,26,0,Monday,False
2016-06-28,2016,2,6,June,26,1,Tuesday,False
2016-06-29,2016,2,6,June,26,2,Wednesday,False
2016-06-30,2016,2,6,June,26,3,Thursday,False
2016-07-01,2016,3,7,July,26,4,Friday,False
2016-07-02,2016,3,7,July,26,5,Saturday,True
2016-07-03,2016,3,7,July,26,6,Sunday,True
2016-07-04,2016,3,7,July,27,0,Monday,False
2016-07-05,2016,3,7,July,27,1,Tuesday,False
2016-07-06,2016,3,7,July,27,2,Wednesday,False
2016-07-07,2016,3,7,July,27,3,Thursday,False
2016-07-08,2016,3,7,July,27,4,Friday,False
2016-07-09,2016,3,7,July,27,5,Saturday,True
2016-07-10,2016,3,7,July,27,6,Sunday,True
2016-07-11,2016,3,7,July,28,0,Monday,False
2016-07-12,2016,3,7,July,28,1,Tuesday,False
2016-07-13,2016,3,7,July,28,2,Wednesday,False
2016-07-14,2016,3,7,July,28,3,Thursday,False
2016-07-15,2016,3,7,July,28,4,Friday,False
2016-07-16,2016,3,7,July,28,5,Saturday,True
2016-07-17,2016,3,7,July,28,6,Sunday,True
2016-07-18,2016,3,7,July,29,0,Monday,False
2016-07-19,2016,3,7,July,29,1,Tuesday,False
2016-07-20,2016,3,7,July,29,2,Wednesday,False
2016-07-21,2016,3,7,July,29,3,Thursday,False
2016-07-22,2016,3,7,July,29,4,Friday,False
2016-07-23,2016,3,7,July,29,5,Saturday,True
2016-07-24,2016,3,7,July,29,6,Sunday,True
2016-07-25,2016,3,7,July,30,0,Monday,False
2016-07-26,2016,3,7,July,30,1,Tuesday,False
2016-07-27,2016,3,7,July,30,2,Wednesday,False
2016-07-28,2016,3,7,July,30,3,Thursday,False
2016-07-29,2016,3,7,July,30,4,Friday,False
2016-07-30,2016,3,7,July,30,5,Saturday,True
2016-07-31,2016,3,7,July,30,6,Sunday,True
2016-08-01,2016,3,8,August,31,0,Monday,False
2016-08-02,2016,3,8,August,31,1,Tuesday,False
2016-08-03,2016,3,8,August,31,2,Wednesday,False
2016-08-04,2016,3,8,August,31,3,Thursday,False
2016-08-05,2016,3,8,August,31,4,Friday,False
2016-08-06,2016,3,8,August,31,5,Saturday,True
2016-08-07,2016,3,8,August,31,6,Sunday,True
2016-08-08,2016,3,8,August,32,0,Monday,False
2016-08-09,2016,3,8,August,32,1,Tuesday,False
2016-08-10,2016,3,8,August,32,2,Wednesday,False
2016-08-11,2016,3,8,August,32,3,Thursday,False
2016-08-12,2016,3,8,August,32,4,Friday,False
2016-08-13,2016,3,8,August,32,5,Saturday,True
2016-08-14,2016,3,8,August,32,6,Sunday,True
2016-08-15,2016,3,8,August,33,0,Monday,False
2016-08-16,2016,3,8,August,33,1,Tuesday,False
2016-08-17,2016,3,8,August,33,2,Wednesday,False
2016-08-18,2016,3,8,August,33,3,Thursday,False
2016-08-19,2016,3,8,August,33,4,Friday,False
2016-08-20,2016,3,8,August,33,5,Saturday,True
2016-08-21,2016,3,8,August,33,6,Sunday,True
2016-08-22,2016,3,8,August,34,0,Monday,False
2016-08-23,2016,3,8,August,34,1,Tuesday,False
2016-08-24,2016,3,8,August,34,2,Wednesday,False
2016-08-25,2016,3,8,August,34,3,Thursday,False
2016-08-26,2016,3,8,August,34,4,Friday,False
2016-08-27,2016,3,8,August,34,5,Saturday,True
2016-08-28,2016,3,8,August,34,6,Sunday,True
2016-08-29,2016,3,8,August,35,0,Monday,False
2016-08-30,2016,3,8,August,35,1,Tuesday,False
2016-08-31,2016,3,8,August,35,2,Wednesday,False
2016-09-01,2016,3,9,September,35,3,Thursday,False
2016-09-02,2016,3,9,September,35,4,Friday,False
2016-09-03,2016,3,9,September,35,5,Saturday,True
2016-09-04,2016,3,9,September,35,6,Sunday,True
2016-09-05,2016,3,9,September,36,0,Monday,False
2016-09-06,2016,3,9,September,36,1,Tuesday,False
2016-09-07,2016,3,9,September,36,2,Wednesday,False
2016-09-08,2016,3,9,September,36,3,Thursday,False
2016-09-09,2016,3,9,September,36,4,Friday,False
2016-09-10,2016,3,9,September,36,5,Saturday,True
2016-09-11,2016,3,9,September,36,6,Sunday,True
2016-09-12,2016,3,9,September,37,0,Monday,False
2016-09-13,2016,3,9,September,37,1,Tuesday,False
2016-09-14,2016,3,9,September,37,2,Wednesday,False
2016-09-15,2016,3,9,September,37,3,Thursday,False
2016-09-16,2016,3,9,September,37,4,Friday,False
2016-09-17,2016,3,9,September,37,5,Saturday,True
2016-09-18,2016,3,9,September,37,6,Sunday,True
2016-09-19,2016,3,9,September,38,0,Monday,False
2016-09-20,2016,3,9,September,38,1,Tuesday,False
2016-09-21,2016,3,9,September,38,2,Wednesday,False
2016-09-22,2016,3,9,September,38,3,Thursday,False
2016-09-23,2016,3,9,September,38,4,Friday,False
2016-09-24,2016,3,9,September,38,5,Saturday,True
2016-09-25,2016,3,9,September,38,6,Sunday,True
2016-09-26,2016,3,9,September,39,0,Monday,False
2016-09-27,2016,3,9,September,39,1,Tuesday,False
2016-09-28,2016,3,9,September,39,2,Wednesday,False
2016-09-29,2016,3,9,September,39,3,Thursday,False
2016-09-30,2016,3,9,September,39,4,Friday,False
2016-10-01,2016,4,10,October,39,5,Saturday,True
2016-10-02,2016,4,10,October,39,6,Sunday,True
2016-10-03,2016,4,10,October,40,0,Monday,False
2016-10-04,2016,4,10,October,40,1,Tuesday,False
2016-10-05,2016,4,10,October,40,2,Wednesday,False
2016-10-06,2016,4,10,October,40,3,Thursday,False
2016-10-07,2016,4,10,October,40,4,Friday,False
2016-10-08,2016,4,10,October,40,5,Saturday,True
2016-10-09,2016,4,10,October,40,6,Sunday,True
2016-10-10,2016,4,10,October,41,0,Monday,False
2016-10-11,2016,4,10,October,41,1,Tuesday,False
2016-10-12,2016,4,10,October,41,2,Wednesday,False
2016-10-13,2016,4,10,October,41,3,Thursday,False
2016-10-14,2016,4,10,October,41,4,Friday,False
2016-10-15,2016,4,10,October,41,5,Saturday,True
2016-10-16,2016,4,10,October,41,6,Sunday,True
2016-10-17,2016,4,10,October,42,0,Monday,False
2016-10-18,2016,4,10,October,42,1,Tuesday,False
2016-10-19,2016,4,10,October,42,2,Wednesday,False
2016-10-20,2016,4,10,October,42,3,Thursday,False
2016-10-21,2016,4,10,October,42,4,Friday,False
2016-10-22,2016,4,10,October,42,5,Saturday,True
2016-10-23,2016,4,10,October,42,6,Sunday,True
2016-10-24,2016,4,10,October,43,0,Monday,False
2016-10-25,2016,4,10,October,43,1,Tuesday,False
2016-10-26,2016,4,10,October,43,2,Wednesday,False
2016-10-27,2016,4,10,October,43,3,Thursday,False
2016-10-28,2016,4,10,October,43,4,Friday,False
2016-10-29,2016,4,10,October,43,5,Saturday,True
2016-10-30,2016,4,10,October,43,6,Sunday,True
2016-10-31,2016,4,10,October,44,0,Monday,False
2016-11-01,2016,4,11,November,44,1,Tuesday,False
2016-11-02,2016,4,11,November,44,2,Wednesday,False
2016-11-03,2016,4,11,November,44,3,Thursday,False
2016-11-04,2016,4,11,November,44,4,Friday,False
2016-11-05,2016,4,11,November,44,5,Saturday,True
2016-11-06,2016,4,11,November,44,6,Sunday,True
2016-11-07,2016,4,11,November,45,0,Monday,False
2016-11-08,2016,4,11,November,45,1,Tuesday,False
2016-11-09,2016,4,11,November,45,2,Wednesday,False
2016-11-10,2016,4,11,November,45,3,Thursday,False
2016-11-11,2016,4,11,November,45,4,Friday,False
2016-11-12,2016,4,11,November,45,5,Saturday,True
2016-11-13,2016,4,11,November,45,6,Sunday,True
2016-11-14,2016,4,11,November,46,0,Monday,False
2016-11-15,2016,4,11,November,46,1,Tuesday,False
2016-11-16,2016,4,11,November,46,2,Wednesday,False
2016-11-17,2016,4,11,November,46,3,Thursday,False
2016-11-18,2016,4,11,November,46,4,Friday,False
2016-11-19,2016,4,11,November,46,5,Saturday,True
2016-11-20,2016,4,11,November,46,6,Sunday,True
2016-11-21,2016,4,11,November,47,0,Monday,False
2016-11-22,2016,4,11,November,47,1,Tuesday,False
2016-11-23,2016,4,11,November,47,2,Wednesday,False
2016-11-24,2016,4,11,November,47,3,Thursday,False
2016-11-25,2016,4,11,November,47,4,Friday,False
2016-11-26,2016,4,11,November,47,5,Saturday,True
2016-11-27,2016,4,11,November,47,6,Sunday,True
2016-11-28,2016,4,11,November,48,0,Monday,False
2016-11-29,2016,4,11,November,48,1,Tuesday,False
2016-11-30,2016,4,11,November,48,2,Wednesday,False
2016-12-01,2016,4,12,December,48,3,Thursday,False
2016-12-02,2016,4,12,December,48,4,Friday,False
2016-12-03,2016,4,12,December,48,5,Saturday,True
2016-12-04,2016,4,12,December,48,6,Sunday,True
2016-12-05,2016,4,12,December,49,0,Monday,False
2016-12-06,2016,4,12,December,49,1,Tuesday,False
2016-12-07,2016,4,12,December,49,2,Wednesday,False
2016-12-08,2016,4,12,December,49,3,Thursday,False
2016-12-09,2016,4,12,December,49,4,Friday,False
2016-12-10,2016,4,12,December,49,5,Saturday,True
2016-12-11,2016,4,12,December,49,6,Sunday,True
2016-12-12,2016,4,12,December,50,0,Monday,False
2016-12-13,2016,4,12,December,50,1,Tuesday,False
2016-12-14,2016,4,12,December,50,2,Wednesday,False
2016-12-15,2016,4,12,December,50,3,Thursday,False
2016-12-16,2016,4,12,December,50,4,Friday,False
2016-12-17,2016,4,12,December,50,5,Saturday,True
2016-12-18,2016,4,12,December,50,6,Sunday,True
2016-12-19,2016,4,12,December,51,0,Monday,False
2016-12-20,2016,4,12,December,51,1,Tuesday,False
2016-12-21,2016,4,12,December,51,2,Wednesday,False
2016-12-22,2016,4,12,December,51,3,Thursday,False
2016-12-23,2016,4,12,December,51,4,Friday,False
2016-12-24,2016,4,12,December,51,5,Saturday,True
2016-12-25,2016,4,12,December,51,6,Sunday,True
2016-12-26,2016,4,12,December,52,0,Monday,False
2016-12-27,2016,4,12,December,52,1,Tuesday,False
2016-12-28,2016,4,12,December,52,2,Wednesday,False
2016-12-29,2016,4,12,December,52,3,Thursday,False
2016-12-30,2016,4,12,December,52,4,Friday,False
2016-12-31,2016,4,12,December,52,5,Saturday,True
2017-01-01,2017,1,1,January,52,6,Sunday,True
2017-01-02,2017,1,1,January,1,0,Monday,False
2017-01-03,2017,1,1,January,1,1,Tuesday,False
2017-01-04,2017,1,1,January,1,2,Wednesday,False
2017-01-05,2017,1,1,January,1,3,Thursday,False
2017-01-06,2017,1,1,January,1,4,Friday,False
2017-01-07,2017,1,1,January,1,5,Saturday,True
2017-01-08,2017,1,1,January,1,6,Sunday,True
2017-01-09,2017,1,1,January,2,0,Monday,False
2017-01-10,2017,1,1,January,2,1,Tuesday,False
2017-01-11,2017,1,1,January,2,2,Wednesday,False
2017-01-12,2017,1,1,January,2,3,Thursday,False
2017-01-13,2017,1,1,January,2,4,Friday,False
2017-01-14,2017,1,1,January,2,5,Saturday,True
2017-01-15,2017,1,1,January,2,6,Sunday,True
2017-01-16,2017,1,1,January,3,0,Monday,False
2017-01-17,2017,1,1,January,3,1,Tuesday,False
2017-01-18,2017,1,1,January,3,2,Wednesday,False
2017-01-19,2017,1,1,January,3,3,Thursday,False
2017-01-20,2017,1,1,January,3,4,Friday,False
2017-01-21,2017,1,1,January,3,5,Saturday,True
2017-01-22,2017,1,1,January,3,6,Sunday,True
2017-01-23,2017,1,1,January,4,0,Monday,False
2017-01-24,2017,1,1,January,4,1,Tuesday,False
2017-01-25,2017,1,1,January,4,2,Wednesday,False
2017-01-26,2017,1,1,January,4,3,Thursday,False
2017-01-27,2017,1,1,January,4,4,Friday,False
2017-01-28,2017,1,1,January,4,5,Saturday,True
2017-01-29,2017,1,1,January,4,6,Sunday,True
2017-01-30,2017,1,1,January,5,0,Monday,False
2017-01-31,2017,1,1,January,5,1,Tuesday,False
2017-02-01,2017,1,2,February,5,2,Wednesday,False
2017-02-02,2017,1,2,February,5,3,Thursday,False
2017-02-03,2017,1,2,February,5,4,Friday,False
2017-02-04,2017,1,2,February,5,5,Saturday,True
2017-02-05,2017,1,2,February,5,6,Sunday,True
2017-02-06,2017,1,2,February,6,0,Monday,False
2017-02-07,2017,1,2,February,6,1,Tuesday,False
2017-02-08,2017,1,2,February,6,2,Wednesday,False
2017-02-09,2017,1,2,February,6,3,Thursday,False
2017-02-10,2017,1,2,February,6,4,Friday,False
2017-02-11,2017,1,2,February,6,5,Saturday,True
2017-02-12,2017,1,2,February,6,6,Sunday,True
2017-02-13,2017,1,2,February,7,0,Monday,False
2017-02-14,2017,1,2,February,7,1,Tuesday,False
2017-02-15,2017,1,2,February,7,2,Wednesday,False
2017-02-16,2017,1,2,February,7,3,Thursday,False
2017-02-17,2017,1,2,February,7,4,Friday,False
2017-02-18,2017,1,2,February,7,5,Saturday,True
2017-02-19,2017,1,2,February,7,6,Sunday,True
2017-02-20,2017,1,2,February,8,0,Monday,False
2017-02-21,2017,1,2,February,8,1,Tuesday,False
2017-02-22,2017,1,2,February,8,2,Wednesday,False
2017-02-23,2017,1,2,February,8,3,Thursday,False
2017-02-24,2017,1,2,February,8,4,Friday,False
2017-02-25,2017,1,2,February,8,5,Saturday,True
2017-02-26,2017,1,2,February,8,6,Sunday,True
2017-02-27,2017,1,2,February,9,0,Monday,False
2017-02-28,2017,1,2,February,9,1,Tuesday,False
2017-03-01,2017,1,3,March,9,2,Wednesday,False
2017-03-02,2017,1,3,March,9,3,Thursday,False
2017-03-03,2017,1,3,March,9,4,Friday,False
2017-03-04,2017,1,3,March,9,5,Saturday,True
2017-03-05,2017,1,3,March,9,6,Sunday,True
2017-03-06,2017,1,3,March,10,0,Monday,False
2017-03-07,2017,1,3,March,10,1,Tuesday,False
2017-03-08,2017,1,3,March,10,2,Wednesday,False
2017-03-09,2017,1,3,March,10,3,Thursday,False
2017-03-10,2017,1,3,March,10,4,Friday,False
2017-03-11,2017,1,3,March,10,5,Saturday,True
2017-03-12,2017,1,3,March,10,6,Sunday,True
2017-03-13,2017,1,3,March,11,0,Monday,False
2017-03-14,2017,1,3,March,11,1,Tuesday,False
2017-03-15,2017,1,3,March,11,2,Wednesday,False
2017-03-16,2017,1,3,March,11,3,Thursday,False
2017-03-17,2017,1,3,March,11,4,Friday,False
2017-03-18,2017,1,3,March,11,5,Saturday,True
2017-03-19,2017,1,3,March,11,6,Sunday,True
2017-03-20,2017,1,3,March,12,0,Monday,False
2017-03-21,2017,1,3,March,12,1,Tuesday,False
2017-03-22,2017,1,3,March,12,2,Wednesday,False
2017-03-23,2017,1,3,March,12,3,Thursday,False
2017-03-24,2017,1,3,March,12,4,Friday,False
2017-03-25,2017,1,3,March,12,5,Saturday,True
2017-03-26,2017,1,3,March,12,6,Sunday,True
2017-03-27,2017,1,3,March,13,0,Monday,False
2017-03-28,2017,1,3,March,13,1,Tuesday,False
2017-03-29,2017,1,3,March,13,2,Wednesday,False
2017-03-30,2017,1,3,March,13,3,Thursday,False
2017-03-31,2017,1,3,March,13,4,Friday,False
2017-04-01,2017,2,4,April,13,5,Saturday,True
2017-04-02,2017,2,4,April,13,6,Sunday,True
2017-04-03,2017,2,4,April,14,0,Monday,False
2017-04-04,2017,2,4,April,14,1,Tuesday,False
2017-04-05,2017,2,4,April,14,2,Wednesday,False
2017-04-06,2017,2,4,April,14,3,Thursday,False
2017-04-07,2017,2,4,April,14,4,Friday,False
2017-04-08,2017,2,4,April,14,5,Saturday,True
2017-04-09,2017,2,4,April,14,6,Sunday,True
2017-04-10,2017,2,4,April,15,0,Monday,False
2017-04-11,2017,2,4,April,15,1,Tuesday,False
2017-04-12,2017,2,4,April,15,2,Wednesday,False
2017-04-13,2017,2,4,April,15,3,Thursday,False
2017-04-14,2017,2,4,April,15,4,Friday,False
2017-04-15,2017,2,4,April,15,5,Saturday,True
2017-04-16,2017,2,4,April,15,6,Sunday,True
2017-04-17,2017,2,4,April,16,0,Monday,False
2017-04-18,2017,2,4,April,16,1,Tuesday,False
2017-04-19,2017,2,4,April,16,2,Wednesday,False
2017-04-20,2017,2,4,April,16,3,Thursday,False
2017-04-21,2017,2,4,April,16,4,Friday,False
2017-04-22,2017,2,4,April,16,5,Saturday,True
2017-04-23,2017,2,4,April,16,6,Sunday,True
2017-04-24,2017,2,4,April,17,0,Monday,False
2017-04-25,2017,2,4,April,17,1,Tuesday,False
2017-04-26,2017,2,4,April,17,2,Wednesday,False
2017-04-27,2017,2,4,April,17,3,Thursday,False
2017-04-28,2017,2,4,April,17,4,Friday,False
2017-04-29,2017,2,4,April,17,5,Saturday,True
2017-04-30,2017,2,4,April,17,6,Sunday,True
2017-05-01,2017,2,5,May,18,0,Monday,False
2017-05-02,2017,2,5,May,18,1,Tuesday,False
2017-05-03,2017,2,5,May,18,2,Wednesday,False
2017-05-04,2017,2,5,May,18,3,Thursday,False
2017-05-05,2017,2,5,May,18,4,Friday,False
2017-05-06,2017,2,5,May,18,5,Saturday,True
2017-05-07,2017,2,5,May,18,6,Sunday,True
2017-05-08,2017,2,5,May,19,0,Monday,False
2017-05-09,2017,2,5,May,19,1,Tuesday,False
2017-05-10,2017,2,5,May,19,2,Wednesday,False
2017-05-11,2017,2,5,May,19,3,Thursday,False
2017-05-12,2017,2,5,May,19,4,Friday,False
2017-05-13,2017,2,5,May,19,5,Saturday,True
2017-05-14,2017,2,5,May,19,6,Sunday,True
2017-05-15,2017,2,5,May,20,0,Monday,False
2017-05-16,2017,2,5,May,20,1,Tuesday,False
2017-05-17,2017,2,5,May,20,2,Wednesday,False
2017-05-18,2017,2,5,May,20,3,Thursday,False
2017-05-19,2017,2,5,May,20,4,Friday,False
2017-05-20,2017,2,5,May,20,5,Saturday,True
2017-05-21,2017,2,5,May,20,6,Sunday,True
2017-05-22,2017,2,5,May,21,0,Monday,False
2017-05-23,2017,2,5,May,21,1,Tuesday,False
2017-05-24,2017,2,5,May,21,2,Wednesday,False
2017-05-25,2017,2,5,May,21,3,Thursday,False
2017-05-26,2017,2,5,May,21,4,Friday,False
2017-05-27,2017,2,5,May,21,5,Saturday,True
2017-05-28,2017,2,5,May,21,6,Sunday,True
2017-05-29,2017,2,5,May,22,0,Monday,False
2017-05-30,2017,2,5,May,22,1,Tuesday,False
